算例,领取人
$FOAM_TUTORIALS/incompressible/pisoFoam/LES/pitzDailyMapped,
$FOAM_TUTORIALS/incompressible/pisoFoam/LES/pitzDaily,
$FOAM_TUTORIALS/incompressible/pisoFoam/LES/motorBike/motorBike,
$FOAM_TUTORIALS/incompressible/pisoFoam/laminar/porousBlockage,
$FOAM_TUTORIALS/incompressible/pisoFoam/RAS/cavityCoupledU,
$FOAM_TUTORIALS/incompressible/pisoFoam/RAS/cavity,
$FOAM_TUTORIALS/incompressible/simpleFoam/windAroundBuildings,
$FOAM_TUTORIALS/incompressible/simpleFoam/pipeCyclic,
$FOAM_TUTORIALS/incompressible/simpleFoam/airFoil2D,
$FOAM_TUTORIALS/incompressible/simpleFoam/T3A,
$FOAM_TUTORIALS/incompressible/simpleFoam/rotorDisk,
$FOAM_TUTORIALS/incompressible/simpleFoam/pitzDailyExptInlet,
$FOAM_TUTORIALS/incompressible/simpleFoam/pitzDaily,
$FOAM_TUTORIALS/incompressible/simpleFoam/mixerVessel2D,
$FOAM_TUTORIALS/incompressible/simpleFoam/motorBike,
$FOAM_TUTORIALS/incompressible/simpleFoam/turbineSiting,
$FOAM_TUTORIALS/incompressible/simpleFoam/roomResidenceTime,
$FOAM_TUTORIALS/incompressible/pimpleFoam/LES/channel395,
$FOAM_TUTORIALS/incompressible/pimpleFoam/laminar/planarContraction,
$FOAM_TUTORIALS/incompressible/pimpleFoam/laminar/blockedChannel,
$FOAM_TUTORIALS/incompressible/pimpleFoam/laminar/offsetCylinder,
$FOAM_TUTORIALS/incompressible/pimpleFoam/laminar/planarCouette,
$FOAM_TUTORIALS/incompressible/pimpleFoam/laminar/pitzDailyPulse,
$FOAM_TUTORIALS/incompressible/pimpleFoam/laminar/movingCone,
$FOAM_TUTORIALS/incompressible/pimpleFoam/laminar/mixerVesselAMI2D,
$FOAM_TUTORIALS/incompressible/pimpleFoam/laminar/planarPoiseuille,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/wingMotion/wingMotion2D_pimpleFoam,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/wingMotion/wingMotion2D_simpleFoam,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/wingMotion/wingMotion_snappyHexMesh,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/TJunction,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/impeller,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/TJunctionFan,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/pitzDaily,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/oscillatingInletACMI2D,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/pitzDailyLTS,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/propeller,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/elipsekkLOmega,
$FOAM_TUTORIALS/incompressible/pimpleFoam/RAS/flowWithOpenBoundary,
$FOAM_TUTORIALS/incompressible/porousSimpleFoam/straightDuctImplicit,
$FOAM_TUTORIALS/incompressible/porousSimpleFoam/angledDuctExplicit,
$FOAM_TUTORIALS/incompressible/porousSimpleFoam/angledDuctImplicit,
$FOAM_TUTORIALS/incompressible/adjointShapeOptimizationFoam/pitzDaily,
$FOAM_TUTORIALS/incompressible/boundaryFoam/boundaryWallFunctionsProfile,
$FOAM_TUTORIALS/incompressible/boundaryFoam/boundaryWallFunctions,
$FOAM_TUTORIALS/incompressible/boundaryFoam/boundaryNonNewtonian,
$FOAM_TUTORIALS/incompressible/boundaryFoam/boundaryLaunderSharma,
$FOAM_TUTORIALS/incompressible/SRFSimpleFoam/mixer,
$FOAM_TUTORIALS/incompressible/SRFPimpleFoam/rotor2D,
$FOAM_TUTORIALS/incompressible/nonNewtonianIcoFoam/offsetCylinder,
$FOAM_TUTORIALS/incompressible/shallowWaterFoam/squareBump,
$FOAM_TUTORIALS/incompressible/icoFoam/cavity/cavityGrade,
$FOAM_TUTORIALS/incompressible/icoFoam/cavity/cavity,xfygogo
$FOAM_TUTORIALS/incompressible/icoFoam/cavity/cavityClipped,
$FOAM_TUTORIALS/incompressible/icoFoam/elbow,
